0,412,141,0,31.5,1.35,1,1,1,1,1,1
1,642,172,-0.6,40,1.3,1.02,1.04,1.06,1,1.02,1.02
2,314,626,0.35,-30,1.34,1,1,1,1,1,1
3,180,167,0,11.5,1.37,1.02,0.94,0.92,0.94,1.06,1.04
4,329,324,0.2,7,1.35,1,1,1,1,1,1
5,372,278,7.45058e-09,15,1.33,1,1,1,1,1,1
6,328,412,0.2,-5,1.33,1,1,1,1,0.96,1
7,285,509,0.3,7,1.34,1,1,1,1,1,1
8,248,317,0,8,1.31,1,1.04,1,1,1.04,1.04
9,283,183,0,24,1.34,1,1,1,1,1,1
10,437,253,0.65,-17.5,1.34,1,1.04,1,1,1.04,1.06
11,414,521,0,-16,1.36,1,1,1,1,1,1
12,246,707,0,-11.5,1.36,1,1,1,1,1,1
